GNPS_annotation	Curated_GNPS_Annotation	Inchi_whole string	SMILES_canonical	Structural_Class	Structural_Subclass	Structural_Subclass2	Source_GFOP	Source	Source_Sub1	Source_Sub2	Drug_Info_1	Drug_Info_2	Bioactivity_boolean	Bioactivity_Known	Origin_Known	Sample_Type_Detected_In_Food	Sample_Type_Detected_In_HumanFeces	Project_Vital_Foodomics	Project_Vital_AGP1	Comment	Reference
NCGC00384516-01!9-methoxy-7-[4-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-[[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxymethyl]oxan-2-yl]oxyphenyl]-[1,3]dioxolo[4,5-g]chromen-8-one	9-methoxy-7-[4-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-[[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxymethyl]oxan-2-yl]oxyphenyl]-[1,3]dioxolo[4,5-g]chromen-8-one	literature limited	literature limited	literature limited	literature limited		unknown	unknown	natural	natural products database hit								no	no		
NCGC00384775-01!(2R,3S)-2-[(3,4-dihydroxyphenyl)methyl]-2-hydroxy-3-[(E)-3-(4-hydroxy-3-methoxyphenyl)prop-2-enoyl]oxybutanedioic acid	(2R,3S)-2-[(3,4-dihydroxyphenyl)methyl]-2-hydroxy-3-[(E)-3-(4-hydroxy-3-methoxyphenyl)prop-2-enoyl]oxybutanedioic acid	literature limited	literature limited	literature limited	literature limited		unknown	unknown	natural	natural products database hit								no	no		
NCGC00384973-01_C13H22O4_(3E)-4-(1,2,4-Trihydroxy-2,6,6-trimethylcyclohexyl)-3-buten-2-one	(3E)-4-(1,2,4-Trihydroxy-2,6,6-trimethylcyclohexyl)-3-buten-2-one	literature limited	literature limited	literature limited	literature limited		unknown	unknown	natural	natural products database hit								no	no		
NCGC00385047-01![1,1,4a-trimethyl-6-methylidene-5-[(2-oxochromen-7-yl)oxymethyl]-3,4,5,7,8,8a-hexahydro-2H-naphthalen-2-yl] acetate	[1,1,4a-trimethyl-6-methylidene-5-[(2-oxochromen-7-yl)oxymethyl]-3,4,5,7,8,8a-hexahydro-2H-naphthalen-2-yl] acetate	literature limited	literature limited	literature limited	literature limited		unknown	unknown	natural	natural products database hit								no	no		
NCGC00385066-01!2-[(1S,6S)-3-methyl-6-prop-1-en-2-ylcyclohex-2-en-1-yl]-5-pentylbenzene-1,3-diol	2-[(1S,6S)-3-methyl-6-prop-1-en-2-ylcyclohex-2-en-1-yl]-5-pentylbenzene-1,3-diol	literature limited	literature limited	literature limited	literature limited		unknown	unknown	natural	natural products database hit								no	no		
NCGC00385090-01!2-(4-hydroxyphenyl)-7-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-2,3-dihydrochromen-4-one	2-(4-hydroxyphenyl)-7-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-2,3-dihydrochromen-4-one	literature limited	literature limited	literature limited	literature limited		unknown	unknown	natural	natural products database hit								no	no		
NCGC00385112-01!2-(3,4-dihydroxyphenyl)-3-[(2S,3R,4S,5S,6R)-4,5-dihydroxy-3-[(2R,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxy-6-[[(2R,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxymethyl]oxan-2-yl]oxy-5,7-dihydroxychromen-4-one	2-(3,4-dihydroxyphenyl)-3-[(2S,3R,4S,5S,6R)-4,5-dihydroxy-3-[(2R,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxy-6-[[(2R,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxymethyl]oxan-2-yl]oxy-5,7-dihydroxychromen-4-one	literature limited	literature limited	literature limited	literature limited	literature limited	unknown	unknown	natural	natural products database hit								no	no		
NCGC00385133-01!7-[(2S,3R,4S,5S,6R)-4,5-dihydroxy-6-(hydroxymethyl)-3-[(2S,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxyoxan-2-yl]oxy-3,5-dihydroxy-2-(4-hydroxyphenyl)chromen-4-one	7-[(2S,3R,4S,5S,6R)-4,5-dihydroxy-6-(hydroxymethyl)-3-[(2S,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxyoxan-2-yl]oxy-3,5-dihydroxy-2-(4-hydroxyphenyl)chromen-4-one	literature limited	literature limited	literature limited	literature limited	literature limited	unknown	unknown	natural	natural products database hit								no	no		
NCGC00385213-01!7-hydroxy-3-[4-hydroxy-3-(3-methylbut-2-enyl)phenyl]chromen-4-one	7-hydroxy-3-[4-hydroxy-3-(3-methylbut-2-enyl)phenyl]chromen-4-one	literature limited	literature limited	literature limited	literature limited	literature limited	unknown	unknown	natural	natural products database hit								no	no		
NCGC00385230-01_C48H76O19_(3beta,5xi,9xi)-28-Hydroxy-28-oxoolean-12-en-3-yl beta-D-galactopyranosyl-(1->3)-[beta-D-glucopyranosyl-(1->2)]-beta-D-glucopyranosiduronic acid	(3beta,5xi,9xi)-28-Hydroxy-28-oxoolean-12-en-3-yl beta-D-galactopyranosyl-(1->3)-[beta-D-glucopyranosyl-(1->2)]-beta-D-glucopyranosiduronic acid	literature limited	literature limited	literature limited	literature limited	literature limited	unknown	unknown	natural	natural products database hit								no	no		
NCGC00385264-02_C27H44O6_1,1,4,7-Tetramethyldecahydro-1H-cyclopropa[e]azulen-4-yl 6-deoxy-2-O-[(2E)-3-methyl-2-pentenoyl]-beta-L-galactopyranoside	1,1,4,7-Tetramethyldecahydro-1H-cyclopropa[e]azulen-4-yl 6-deoxy-2-O-[(2E)-3-methyl-2-pentenoyl]-beta-L-galactopyranoside	literature limited	literature limited	literature limited	literature limited	literature limited	unknown	unknown	natural	natural products database hit								no	no		
NCGC00385355-01_C20H26N2O2_(8alpha,9R)-6'-Methoxy-10,11-dihydrocinchonan-9-ol	(8alpha,9R)-6'-Methoxy-10,11-dihydrocinchonan-9-ol	literature limited	literature limited	literature limited	literature limited	literature limited	unknown	unknown	natural	natural products database hit								no	no		
NCGC00385375-01!8-[(2S,3R,4S,5S,6R)-4,5-dihydroxy-6-(hydroxymethyl)-3-[(2S,3R,4S,5R)-3,4,5-trihydroxyoxan-2-yl]oxyoxan-2-yl]-2-(3,4-dihydroxyphenyl)-5,7-dihydroxychromen-4-one	8-[(2S,3R,4S,5S,6R)-4,5-dihydroxy-6-(hydroxymethyl)-3-[(2S,3R,4S,5R)-3,4,5-trihydroxyoxan-2-yl]oxyoxan-2-yl]-2-(3,4-dihydroxyphenyl)-5,7-dihydroxychromen-4-one	literature limited	literature limited	literature limited	literature limited	literature limited	unknown	unknown	natural	natural products database hit								no	no		
NCGC00385382-01!2,4,6-trihydroxy-2-[(4-hydroxyphenyl)methyl]-1-benzofuran-3-one	2,4,6-trihydroxy-2-[(4-hydroxyphenyl)methyl]-1-benzofuran-3-one	literature limited	literature limited	literature limited	literature limited	literature limited	unknown	unknown	natural	natural products database hit								no	no		
NCGC00385396-01_C23H24O7_Benzeneacetic acid, 4-hydroxy-, (3S,3aR,4S,9aS,9bR)-2,3,3a,4,5,7,9a,9b-octahydro-9-(hydroxymethyl)-3,6-dimethyl-2,7-dioxoazuleno[4,5-b]furan-4-yl ester	Benzeneacetic acid, 4-hydroxy-, (3S,3aR,4S,9aS,9bR)-2,3,3a,4,5,7,9a,9b-octahydro-9-(hydroxymethyl)-3,6-dimethyl-2,7-dioxoazuleno[4,5-b]furan-4-yl ester	literature limited	literature limited	literature limited	literature limited	literature limited	unknown	unknown	natural	natural products database hit								no	no		
NCGC00385529-01_C48H76O19_1-O-{(3beta,5xi,9xi)-3-[(2-O-Hexopyranosyl-beta-D-glucopyranuronosyl)oxy]-28-oxoolean-12-en-28-yl}-beta-D-glucopyranose	1-O-{(3beta,5xi,9xi)-3-[(2-O-Hexopyranosyl-beta-D-glucopyranuronosyl)oxy]-28-oxoolean-12-en-28-yl}-beta-D-glucopyranose	InChI=1S/C48H76O19/c1-43(2)14-16-48(42(61)67-40-35(58)31(54)29(52)24(20-50)63-40)17-15-46(6)21(22(48)18-43)8-9-26-45(5)12-11-27(44(3,4)25(45)10-13-47(26,46)7)64-41-37(33(56)32(55)36(65-41)38(59)60)66-39-34(57)30(53)28(51)23(19-49)62-39/h8,22-37,39-41,49-58H,9-20H2,1-7H3,(H,59,60)/t22-,23?,24+,25?,26?,27-,28?,29+,30?,31-,32-,33-,34?,35+,36-,37+,39?,40-,41+,45-,46+,47+,48-/m0/s1	CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)OC6C(C(C(C(O6)C(=O)O)O)O)OC7C(C(C(C(O7)CO)O)O)O)C)C)C2C1)C)C(=O)OC8C(C(C(C(O8)CO)O)O)O)C				unknown	unknown	natural	natural								no	no		https://pubchem.ncbi.nlm.nih.gov/compound/45359852
NCGC00385551-01!5-[(2S,3R,4S,5S,6R)-6-[[(2R,3R,4R)-3,4-dihydroxy-4-(hydroxymethyl)oxolan-2-yl]oxymethyl]-3,4,5-trihydroxyoxan-2-yl]oxy-4-(3,4-dihydroxyphenyl)-7-hydroxychromen-2-one	5-[(2S,3R,4S,5S,6R)-6-[[(2R,3R,4R)-3,4-dihydroxy-4-(hydroxymethyl)oxolan-2-yl]oxymethyl]-3,4,5-trihydroxyoxan-2-yl]oxy-4-(3,4-dihydroxyphenyl)-7-hydroxychromen-2-one	literature limited	literature limited	literature limited	literature limited	literature limited	unknown	unknown	natural	natural products database hit								no	no		
NCGC00385739-01_C48H76O20_(3beta,5xi,9xi,22beta)-22,24,29-Trihydroxy-29-oxoolean-12-en-3-yl 6-deoxy-alpha-L-mannopyranosyl-(1->2)-beta-D-galactopyranosyl-(1->2)-beta-D-glucopyranosiduronic acid	(3beta,5xi,9xi,22beta)-22,24,29-Trihydroxy-29-oxoolean-12-en-3-yl 6-deoxy-alpha-L-mannopyranosyl-(1->2)-beta-D-galactopyranosyl-(1->2)-beta-D-glucopyranosiduronic acid	InChI=1S/C48H76O20/c1-20-28(52)30(54)34(58)39(63-20)67-36-31(55)29(53)23(18-49)64-40(36)68-37-33(57)32(56)35(38(59)60)66-41(37)65-27-11-12-45(4)24(46(27,5)19-50)10-13-48(7)25(45)9-8-21-22-16-43(2,42(61)62)17-26(51)44(22,3)14-15-47(21,48)6/h8,20,22-37,39-41,49-58H,9-19H2,1-7H3,(H,59,60)(H,61,62)/t20-,22-,23+,24?,25?,26+,27-,28-,29-,30+,31-,32-,33-,34+,35-,36+,37+,39-,40-,41+,43?,44+,45-,46+,47+,48+/m0/s1	CC1C(C(C(C(O1)OC2C(C(C(OC2OC3C(C(C(OC3OC4CCC5(C(C4(C)CO)CCC6(C5CC=C7C6(CCC8(C7CC(CC8O)(C)C(=O)O)C)C)C)C)C(=O)O)O)O)CO)O)O)O)O)O	literature limited	literature limited	literature limited	unknown	unknown	natural	natural products database hit								no	no		https://pubchem.ncbi.nlm.nih.gov/compound/75368773
NCGC00385769-01!4-[3,5-dihydroxy-7-(4-hydroxyphenyl)heptyl]benzene-1,2-diol	4-[3,5-dihydroxy-7-(4-hydroxyphenyl)heptyl]benzene-1,2-diol	InChI=1S/C19H24O5/c20-15-6-1-13(2-7-15)3-8-16(21)12-17(22)9-4-14-5-10-18(23)19(24)11-14/h1-2,5-7,10-11,16-17,20-24H,3-4,8-9,12H2/t16-,17-/m1/s1	C1=CC(=CC=C1CCC(CC(CCC2=CC(=C(C=C2)O)O)O)O)O	other	phenol		unknown	unknown	natural	natural products database hit								no	no		https://pubchem.ncbi.nlm.nih.gov/compound/636849
NCGC00385795-01_C18H28O3_2H-Pyran-2-one, tetrahydro-4-hydroxy-6-[2-(1,2,4a,5,6,7,8,8a-octahydro-2-methyl-1-naphthalenyl)ethyl]-	2H-Pyran-2-one, tetrahydro-4-hydroxy-6-[2-(1,2,4a,5,6,7,8,8a-octahydro-2-methyl-1-naphthalenyl)ethyl]-	literature limited	literature limited	literature limited	literature limited	literature limited	unknown	unknown	natural	natural products database hit								no	no		
NCGC00385819-01!5-hydroxy-2-(4-hydroxy-3-methoxyphenyl)-3,7-dimethoxychromen-4-one	5-hydroxy-2-(4-hydroxy-3-methoxyphenyl)-3,7-dimethoxychromen-4-one	literature limited	literature limited	literature limited	literature limited	literature limited	unknown	unknown	natural	natural products database hit								no	no		
NCGC00385832-01!5,7-dihydroxy-3-(4-hydroxyphenyl)-6,8-bis[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]chromen-4-one	5,7-dihydroxy-3-(4-hydroxyphenyl)-6,8-bis[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]chromen-4-one	InChI=1S/C27H30O15/c28-5-11-17(32)21(36)23(38)26(41-11)14-19(34)13-16(31)10(8-1-3-9(30)4-2-8)7-40-25(13)15(20(14)35)27-24(39)22(37)18(33)12(6-29)42-27/h1-4,7,11-12,17-18,21-24,26-30,32-39H,5-6H2	C1=CC(=CC=C1C2=COC3=C(C2=O)C(=C(C(=C3C4C(C(C(C(O4)CO)O)O)O)O)C5C(C(C(C(O5)CO)O)O)O)O)O	literature limited	literature limited	literature limited	unknown	unknown	natural	natural products database hit								no	no		https://pubchem.ncbi.nlm.nih.gov/compound/4484951
NCGC00385939-01!3-methoxy-5-[(E)-2-(4-methoxyphenyl)ethenyl]phenol	3-methoxy-5-[(E)-2-(4-methoxyphenyl)ethenyl]phenol	literature limited	literature limited	literature limited	literature limited	literature limited	unknown	unknown	natural	natural products database hit								no	no		
NCGC00386029-01_C14H20O8_2-Hydroxy-4-(2-hydroxyethyl)phenyl beta-D-glucopyranoside	2-Hydroxy-4-(2-hydroxyethyl)phenyl beta-D-glucopyranoside	literature limited	literature limited	literature limited	literature limited	literature limited	unknown	unknown	natural	natural products database hit								no	no		
NCGC00386056-01_C20H30O3_(5xi,9xi)-12-Hydroxyabieta-7,13-dien-18-oic acid	(5xi,9xi)-12-Hydroxyabieta-7,13-dien-18-oic acid	InChI=1S/C20H30O3/c1-12(2)14-10-13-6-7-17-19(3,15(13)11-16(14)21)8-5-9-20(17,4)18(22)23/h6,10,12,15-17,21H,5,7-9,11H2,1-4H3,(H,22,23)/t15?,16?,17?,19-,20-/m1/s1	CC(C)C1=CC2=CCC3C(C2CC1O)(CCCC3(C)C(=O)O)C	literature limited	literature limited	literature limited	unknown	unknown	natural	natural products database hit								no	no		https://pubchem.ncbi.nlm.nih.gov/compound/51136293
Palythazine	Palythazine						unknown	unknown	natural	natural								no	no		
Quinidine N-oxide	Quinidine N-oxide	InChI=1S/C20H24N2O3/c1-3-13-12-22(24)9-7-14(13)10-19(22)20(23)16-6-8-21-18-5-4-15(25-2)11-17(16)18/h3-6,8,11,13-14,19-20,23H,1,7,9-10,12H2,2H3/t13-,14-,19+,20-,22+/m0/s1	COC1=CC2=C(C=CN=C2C=C1)C(C3CC4CC[N+]3(CC4C=C)[O-])O	phytochemical	alkaloid	quinoline	unknown	unknown	unknown	unknown								no	no		https://pubchem.ncbi.nlm.nih.gov/compound/quinidine-N-oxide
Rhamnazin	Rhamnazin	InChI=1S/C17H14O7/c1-22-9-6-11(19)14-13(7-9)24-17(16(21)15(14)20)8-3-4-10(18)12(5-8)23-2/h3-7,18-19,21H,1-2H3	COC1=CC(=C2C(=C1)OC(=C(C2=O)O)C3=CC(=C(C=C3)O)OC)O	phytochemical	flavonoid	flavonol	unknown	unknown										no	no		https://pubchem.ncbi.nlm.nih.gov/compound/Rhamnazin#section=Top
Sebacic acid	Sebacic acid	InChI=1S/C10H18O4/c11-9(12)7-5-3-1-2-4-6-8-10(13)14/h1-8H2,(H,11,12)(H,13,14)	C(CCCCC(=O)O)CCCC(=O)O	lipid	fatty acyl		unknown	unknown	natural	natural products database hit								no	no		https://pubchem.ncbi.nlm.nih.gov/compound/sebacic_acid#section=Top
2-Arachidonyl glycerol ether	2-Arachidonyl glycerol ether			lipid			unknown	unknown	unknown	unknown								no	no		
4,8-Dimethylquinolin-2-ol	4,8-Dimethylquinolin-2-ol	InChI=1S/C11H11NO/c1-7-4-3-5-9-8(2)6-10(13)12-11(7)9/h3-6H,1-2H3,(H,12,13)	CC1=CC=CC2=C1NC(=O)C=C2C	other		quinoline	unknown	unknown	unknown	unknown								no	no		https://pubchem.ncbi.nlm.nih.gov/compound/220708
8-Hydroxyquinoline-5-carboxylic acid	8-Hydroxyquinoline-5-carboxylic acid	InChI=1S/C10H7NO3/c12-8-4-3-7(10(13)14)6-2-1-5-11-9(6)8/h1-5,12H,(H,13,14)	C1=CC2=C(C=CC(=C2N=C1)O)C(=O)O	other	quinoline	quinoline	unknown	unknown	unknown	unknown								no	no		https://pubchem.ncbi.nlm.nih.gov/compound/459617
8-methoxy-4,5-dihydro-1-benzoxepin-3-one	8-methoxy-4,5-dihydro-1-benzoxepin-3-one	InChI=1S/C11H12O3/c1-13-10-5-3-8-2-4-9(12)7-14-11(8)6-10/h3,5-6H,2,4,7H2,1H3	COC1=CC2=C(CCC(=O)CO2)C=C1	other			unknown	unknown	unknown	unknown								no	no		https://pubchem.ncbi.nlm.nih.gov/compound/016757440
9-Ethyl-9H-carbazol-3-ylamine	9-Ethyl-9H-carbazol-3-ylamine	InChI=1S/C14H14N2/c1-2-16-13-6-4-3-5-11(13)12-9-10(15)7-8-14(12)16/h3-9H,2,15H2,1H3	CCN1C2=C(C=C(C=C2)N)C3=CC=CC=C31	other		dibenzopyrrole	unknown	unknown	unknown	unknown					chromogenic substrate 			no	no		https://pubchem.ncbi.nlm.nih.gov/compound/8588
9-Ketofluprostenol	9-Ketofluprostenol	InChI=1S/C23H27F3O6/c24-23(25,26)15-6-5-7-17(12-15)32-14-16(27)10-11-19-18(20(28)13-21(19)29)8-3-1-2-4-9-22(30)31/h1,3,5-7,10-12,16,18-19,21,27,29H,2,4,8-9,13-14H2,(H,30,31)/b3-1-,11-10+/t16-,18-,19-,21-/m1/s1	C1C(C(C(C1=O)CC=CCCCC(=O)O)C=CC(COC2=CC=CC(=C2)C(F)(F)F)O)O				unknown	unknown	unknown	unknown								no	no		https://pubchem.ncbi.nlm.nih.gov/compound/156406-33-6
all trans-Retinal	Retinal	InChI=1S/C20H28O/c1-16(8-6-9-17(2)13-15-21)11-12-19-18(3)10-7-14-20(19,4)5/h6,8-9,11-13,15H,7,10,14H2,1-5H3/b9-6+,12-11+,16-8+,17-13+	CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC=O)C)C	lipid	prenol lipid	isoprenoid	unknown	unknown	unknown	unknown								no	no		https://pubchem.ncbi.nlm.nih.gov/compound/retinal
all-trans-4-Hydroxyretinoic acid	4-Hydroxyretinoic acid	InChI=1S/C20H28O3/c1-14(7-6-8-15(2)13-19(22)23)9-10-17-16(3)18(21)11-12-20(17,4)5/h6-10,13,18,21H,11-12H2,1-5H3,(H,22,23)/b8-6+,10-9+,14-7+,15-13+	CC1=C(C(CCC1O)(C)C)C=CC(=CC=CC(=CC(=O)O)C)C	lipid	prenol lipid	isoprenoid	unknown	unknown	unknown	unknown								no	no		https://pubchem.ncbi.nlm.nih.gov/compound/6438629
Androst-5-en-17-one, 3-[2-(diethylamino)ethoxy]-, (3.beta.)-	Androst-5-en-17-one, 3-[2-(diethylamino)ethoxy]-, (3.beta.)-						unknown	unknown	unknown	unknown								no	no		
Asperphenamate_130119	Asperphenamate_130119	InChI=1S/C32H30N2O4/c35-30(26-17-9-3-10-18-26)33-28(21-24-13-5-1-6-14-24)23-38-32(37)29(22-25-15-7-2-8-16-25)34-31(36)27-19-11-4-12-20-27/h1-20,28-29H,21-23H2,(H,33,35)(H,34,36)	C1=CC=C(C=C1)CC(COC(=O)C(CC2=CC=CC=C2)NC(=O)C3=CC=CC=C3)NC(=O)C4=CC=CC=C4				unknown	unknown	unknown	unknown								no	no		https://pubchem.ncbi.nlm.nih.gov/compound/328238
Benzyldimethyltetradecylammonium cation	Benzyldimethyltetradecylammonium cation						unknown	unknown										no	no		
Calpain Inhibitor II	Calpain Inhibitor II	InChI=1S/C19H35N3O4S/c1-12(2)9-16(20-14(5)24)19(26)22-17(10-13(3)4)18(25)21-15(11-23)7-8-27-6/h11-13,15-17H,7-10H2,1-6H3,(H,20,24)(H,21,25)(H,22,26)/t15?,16-,17?/m0/s1	CC(C)CC(C(=O)NC(CC(C)C)C(=O)NC(CCSC)C=O)NC(=O)C	other			unknown	unknown	unknown	unknown								no	no		https://pubchem.ncbi.nlm.nih.gov/compound/16218939
Capsazepine	Capsazepine	InChI=1S/C19H21ClN2O2S/c20-16-5-3-13(4-6-16)7-8-21-19(25)22-9-1-2-14-10-17(23)18(24)11-15(14)12-22/h3-6,10-11,23-24H,1-2,7-9,12H2,(H,21,25)	C1CC2=CC(=C(C=C2CN(C1)C(=S)NCCC3=CC=C(C=C3)Cl)O)O	other			unknown	unknown	unknown	unknown								no	no		https://pubchem.ncbi.nlm.nih.gov/compound/capsazepine
Colchicine	Colchicine	InChI=1S/C22H25NO6/c1-12(24)23-16-8-6-13-10-19(27-3)21(28-4)22(29-5)20(13)14-7-9-18(26-2)17(25)11-15(14)16/h7,9-11,16H,6,8H2,1-5H3,(H,23,24)/t16-/m0/s1	CC(=O)NC1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)OC)OC)OC)OC	other	alkaloid		unknown	unknown	natural products database hit	natural products database hit								no	no		
Diethyl azelate	Diethyl azelate	InChI=1S/C13H24O4/c1-3-16-12(14)10-8-6-5-7-9-11-13(15)17-4-2/h3-11H2,1-2H3	CCOC(=O)CCCCCCCC(=O)OCC				unknown	unknown										no	no		https://pubchem.ncbi.nlm.nih.gov/compound/diethyl_azelate
Eicosapentaenoylserotonin	Eicosapentaenoyl Serotonin	InChI=1S/C30H40N2O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-30(34)31-23-22-26-25-32-29-21-20-27(33)24-28(26)29/h3-4,6-7,9-10,12-13,15-16,20-21,24-25,32-33H,2,5,8,11,14,17-19,22-23H2,1H3,(H,31,34)	CCC=CCC=CCC=CCC=CCC=CCCCC(=O)NCCC1=CNC2=C1C=C(C=C2)O				unknown	unknown	unknown	unknown								no	no		https://pubchem.ncbi.nlm.nih.gov/compound/53393981
Genipin	Genipin	InChI=1S/C11H14O5/c1-15-10(13)8-5-16-11(14)9-6(4-12)2-3-7(8)9/h2,5,7,9,11-12,14H,3-4H2,1H3/t7-,9-,11-/m1/s1	COC(=O)C1=COC(C2C1CC=C2CO)O	phytochemical	terpene	terpenoid	unknown	unknown	unknown	plant								no	no		
icariside B5	icariside B5	InChI=1S/C19H32O8/c1-10-7-12(21)8-18(3,4)19(10,25)6-5-11(2)26-17-16(24)15(23)14(22)13(9-20)27-17/h7,11,13-17,20,22-25H,5-6,8-9H2,1-4H3/t11-,13-,14-,15+,16-,17-,19-/m1/s1	CC1=CC(=O)CC(C1(CCC(C)OC2C(C(C(C(O2)CO)O)O)O)O)(C)C	literature limited	literature limited	literature limited	unknown	unknown	natural	natural products database hit								no	no		
Kartogenin	Kartogenin	InChI=1S/C20H15NO3/c22-19(17-8-4-5-9-18(17)20(23)24)21-16-12-10-15(11-13-16)14-6-2-1-3-7-14/h1-13H,(H,21,22)(H,23,24)	C1=CC=C(C=C1)C2=CC=C(C=C2)NC(=O)C3=CC=CC=C3C(=O)O	other		anilide	unknown	unknown	unknown	unknown					natural bioactive			no	no		https://pubchem.ncbi.nlm.nih.gov/compound/Kartogenin
Kynurenic acid	Kynurenic acid	InChI=1S/C10H7NO3/c12-9-5-8(10(13)14)11-7-4-2-1-3-6(7)9/h1-5H,(H,11,12)(H,13,14)	C1=CC=C2C(=C1)C(=O)C=C(N2)C(=O)O	other		quinoline	unknown	unknown	unknown	unknown								no	no		https://pubchem.ncbi.nlm.nih.gov/compound/kynurenic_acid
Leelamine	Leelamine	InChI=1S/C20H31N/c1-14(2)15-6-8-17-16(12-15)7-9-18-19(3,13-21)10-5-11-20(17,18)4/h6,8,12,14,18H,5,7,9-11,13,21H2,1-4H3/t18?,19-,20+/m0/s1	CC(C)C1=CC2=C(C=C1)C3(CCCC(C3CC2)(C)CN)C	lipid	isoprenoid	terpenoid	unknown	unknown	unknown	unknown								no	no		https://pubchem.ncbi.nlm.nih.gov/compound/118215
Lewis X trisaccharide	Lewis X trisaccharide	InChI=1S/C20H35NO15/c1-5-10(25)12(27)14(29)19(32-5)36-17-9(21-6(2)24)18(31)33-8(4-23)16(17)35-20-15(30)13(28)11(26)7(3-22)34-20/h5,7-20,22-23,25-31H,3-4H2,1-2H3,(H,21,24)/t5-,7+,8+,9+,10+,11-,12+,13-,14-,15+,16+,17+,18?,19-,20-/m0/s1	CC1C(C(C(C(O1)OC2C(C(OC(C2OC3C(C(C(C(O3)CO)O)O)O)CO)O)NC(=O)C)O)O)O	carbohydrate	oligosaccharide		unknown	unknown	unknown	unknown								no	no		https://pubchem.ncbi.nlm.nih.gov/compound/11813424
Lithospermic acid	Lithospermic acid	InChI=1S/C27H22O12/c28-15-5-1-12(9-18(15)31)10-20(26(34)35)38-21(33)8-4-13-2-7-17(30)25-22(13)23(27(36)37)24(39-25)14-3-6-16(29)19(32)11-14/h1-9,11,20,23-24,28-32H,10H2,(H,34,35)(H,36,37)/b8-4+/t20-,23+,24-/m1/s1	C1=CC(=C(C=C1CC(C(=O)O)OC(=O)C=CC2=C3C(C(OC3=C(C=C2)O)C4=CC(=C(C=C4)O)O)C(=O)O)O)O	other		benzofuran	unknown	unknown	unknown	unknown								no	no		https://pubchem.ncbi.nlm.nih.gov/compound/Lithospermic_acid
Luffariellolide	Luffariellolide	InChI=1S/C25H38O3/c1-18(11-7-13-21-17-23(26)28-24(21)27)9-6-10-19(2)14-15-22-20(3)12-8-16-25(22,4)5/h10-11,17,24,27H,6-9,12-16H2,1-5H3/b18-11+,19-10+	CC1=C(C(CCC1)(C)C)CCC(=CCCC(=CCCC2=CC(=O)OC2O)C)C			sesterterpenoid 	unknown	unknown	unknown	unknown					marine natural product, sponges			no	no		https://pubchem.ncbi.nlm.nih.gov/compound/Luffariellolide#section=Top
Manoalide	Manoalide	InChI=1S/C25H36O5/c1-16(10-12-20-17(2)8-6-14-25(20,3)4)7-5-9-18-11-13-21(29-23(18)27)19-15-22(26)30-24(19)28/h7,11,15,21,23-24,27-28H,5-6,8-10,12-14H2,1-4H3/b16-7+/t21-,23-,24-/m1/s1	CC1=C(C(CCC1)(C)C)CCC(=CCCC2=CCC(OC2O)C3=CC(=O)OC3O)C	other		furan	unknown	unknown	unknown	unknown								no	no	marine natural product	https://pubchem.ncbi.nlm.nih.gov/compound/manoalide
Maresin 1	Maresin 1	InChI=1S/C22H32O4/c1-2-3-4-5-6-10-15-20(23)16-11-7-8-12-17-21(24)18-13-9-14-19-22(25)26/h3-4,6-13,16-17,20-21,23-24H,2,5,14-15,18-19H2,1H3,(H,25,26)/b4-3-,8-7+,10-6-,13-9-,16-11-,17-12+/t20-,21-/m0/s1	CCC=CCC=CCC(C=CC=CC=CC(CC=CCCC(=O)O)O)O	lipid	fatty acid		unknown	unknown	unknown	unknown								no	no		https://pubchem.ncbi.nlm.nih.gov/compound/60201795
